file name,layer,text
Sweet Baby,textt,Sweet Baby
Mr. Bright,textt,Mr. Bright
Mr. Imade,textt,Mr. Imade
Mr. Thompson,textt,Mr. Thompson
<Charlie Zuri/>,textt,<Charlie Zuri/>
Chinese,textt,Chinese
Adaeze,textt,Adaeze
Adebiyi,textt,Adebiyi
Adessa Gas,textt,Adessa Gas
MC Ifeaka,textt,MC Ifeaka
̠thelberht :),textt,Airtel :)
AJ Mum,textt,AJ Mum
Alex NYSC,textt,Alex NYSC
Amaka,textt,Amaka
Ande Israel,textt,Ande Israel
Anthony PHP,textt,Anthony PHP
Ayo Marcellus,textt,Ayo ManCity
Ayeye :),textt,Ayomisuperior
Barr Edoghogho,textt,Barr Edoghogho
Benedict Gee,textt,Benedict Gee
Blackinary,textt,Blackinary
Blessez,textt,Blessez
Bros MTN,textt,Bros MTN
Mrs Charity,textt,Mrs Charity
Charlie,textt,Charlie
Chibuzor,textt,Chibuzor
Chief Ose,textt,Chief Ose
Chris Rocks,textt,Chris Rocks
Mr. Daniel,textt,Mr. Daniel
CLO Isiaka,textt,CLO Isiaka
Course Advisor,textt,Course Advisor
Chinecherem,textt,Chinecherem
Damak,textt,Damak
Decodev,textt,Decodev
Dexnovate,textt,Dexnovate
Domdom Tobi,textt,Domdom Tobi
Sir Andrew,textt,Sir Andrew
Mr. Eddy,textt,Mr. Eddy
Miss Emjay,textt,Miss Emjay
Emuesiri,textt,Emuesiri
Sir Justice,textt,Sir Justice
Oga Mayaki,textt,Oga Mayaki
Oga Onyeka,textt,Oga Onyeka
Engr Edafe,textt,Engr Edafe
Engr Odia,textt,Engr Odia
Engr Omoifo,textt,Engr Omoifo
Oga Emma,textt,Oga Emma
Mr. Davidson,textt,Mr. Davidson
Oga Etinosa,textt,Oga Etinosa
Eunovo,textt,Eunovo
Mr Francis,textt,Mr Francis
OG Gaius,textt,OG Gaius
Gigi,textt,Gigi
Goodc,textt,Goodc
My HOD,textt,My HOD
Idahosa Dee,textt,Idahosa Dee
IOP,textt,IOP
Israel,textt,Israel
Jakes Ebu,textt,Jakes Ebu
Jennifer Abraka,textt,Jennifer Abraka
Joshua Zuri,textt,Joshua Zuri
Kekesmovic,textt,Kekesmovic
Ruth Ladey,textt,Ruth Ladey
Mrs Layefa,textt,Mrs Layefa
SLT Jimoh,textt,SLT Jimoh
Lt Cdr Abaver,textt,Lt Cdr Abaver
Muktar,textt,Muktar
Mac's Mum,textt,Mac's Mum
Ma Shola,textt,Ma Shola
Major Irabor,textt,Major Irabor
Malbranque Mubarak,textt,Malbranque Mubarak
Mark Essien,textt,Mark Essien
Marvel Special,textt,Marvel Special
Mary Alex,textt,Mary Alex
Matty Studios,textt,Matty Studios
McDavid One,textt,McDavid One
Mikky Bang,textt,Mikky Bang
Mimi Special,textt,Mimi Special
Mummy,textt,Mummy
Mummy Pearl,textt,Mummy Pearl
Mummy Eghe,textt,Mummy Eghe
Oga Nanu,textt,Oga Nanu
Oga Baggio,textt,Oga Baggio
Bright Azebokhe Jerry,textt,Bright Azebokhe Jerry
Oga Francis,textt,Oga Francis
Omolefe,textt,Omolefe
Olah Daniel,textt,Olah Daniel
Omo Gee,textt,Omo Gee
Miss Omojole,textt,Miss Omojole
Onyi Special,textt,Onyi Special
Ose Omoike,textt,Ose Omoike
Mr. Osinachi,textt,Mr. Osinachi
Odeh Nicholas,textt,Odeh Nicholas
Peace Osayuwa,textt,Peace Osayuwa
Peggy Boo,textt,Peggy Boo
Akinbobola,textt,Akinbobola
Oga Pato,textt,Oga Pato
Miss Philz,textt,Miss Philz
Portia,textt,Portia
Prisca Princess,textt,Prisca Princess
Rahman Akorede,textt,Rahman Akorede
Rejoice,textt,Rejoice
Rex Smart,textt,Rex Smart
Rita CM,textt,Rita CM
Samso,textt,Samso
Madam Sandra,textt,Madam Sandra
Shazzar,textt,Shazzar
Shola,textt,Shola
Sir Wizzy,textt,Sir Wizzy
SLT Bello,textt,SLT Bello
Solo Finest,textt,Solo Finest
Splash Ray,textt,Splash Ray
Boss Takecare,textt,Boss Takecare
Tiwa SVG,textt,Tiwa SVG
Chief Wizzie,textt,Chief Wizzie
Oga Wizzy,textt,Oga Wizzy
CPE Family,textt,CPE Family
49 Battalion,textt,49 Battalion
NYSC Apapa Soldiers,textt,NYSC Apapa Soldiers
Connexan People,textt,Connexan People
HNG People,textt,HNG People
Zuri Techies,textt,Zuri Techies
Quorra Family,textt,Quorra Family
Ojegun Family,textt,Ojegun Family
INFOTECH CDS,textt,INFOTECH CDS
Sweet Melita,textt,Sweet Melita
